ScanCode,Access,Description,Instruments
BULLISH_LAST_VS_EMA100,allowed,Bullish Price vs EMA(100),"STK,ETF.EQ.US,ETF.FI.US"
BEARISH_LAST_VS_EMA100,allowed,Bearish Price vs EMA(100),"STK,ETF.EQ.US,ETF.FI.US"
BULLISH_LAST_VS_EMA200,allowed,Bullish Price vs EMA(200),"STK,ETF.EQ.US,ETF.FI.US"
BEARISH_LAST_VS_EMA200,allowed,Bearish Price vs EMA(200),"STK,ETF.EQ.US,ETF.FI.US"
BULLISH_EMA_DIFF_VS_LAST,allowed,Bullish EMA(20) vs EMA(200),"STK,ETF.EQ.US,ETF.FI.US"
BEARISH_EMA_DIFF_VS_LAST,allowed,Bearish EMA(20) vs EMA(200),"STK,ETF.EQ.US,ETF.FI.US"
BULLISH_MACD_DIST_VS_LAST,allowed,Bullish MACD Histogram,"STK,ETF.EQ.US,ETF.FI.US"
BEARISH_MACD_DIST_VS_LAST,allowed,Bearish MACD Histogram,"STK,ETF.EQ.US,ETF.FI.US"
BULLISH_PPO_DIST,allowed,Bullish PPO Histogram,"STK,ETF.EQ.US,ETF.FI.US"
BEARISH_PPO_DIST,allowed,Bearish PPO Histogram,"STK,ETF.EQ.US,ETF.FI.US"
SCAN_rcgLongTermTechnicalDate_DESC,unrestricted,Long Term Technical Date (Recognia) Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_rcgLongTermTechnicalDate_ASC,unrestricted,Long Term Technical Date (Recognia) Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_rcgLongTermEventScore_DESC,unrestricted,Long Term Event Score (Recognia) Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_rcgLongTermEventScore_ASC,unrestricted,Long Term Event Score (Recognia) Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_rcgLongTermTrade_DESC,unrestricted,Long Term Trade (Recognia) Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_rcgLongTermTrade_ASC,unrestricted,Long Term Trade (Recognia) Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_rcgIntermediateTermTechnicalDate_DESC,unrestricted,Intermediate Term Technical Date (Recognia) Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_rcgIntermediateTermTechnicalDate_ASC,unrestricted,Intermediate Term Technical Date (Recognia) Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_rcgIntermediateTermEventScore_DESC,unrestricted,Intermediate Term Event Score (Recognia) Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_rcgIntermediateTermEventScore_ASC,unrestricted,Intermediate Term Event Score (Recognia) Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_rcgIntermediateTermTrade_DESC,unrestricted,Intermediate Term Trade (Recognia) Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_rcgIntermediateTermTrade_ASC,unrestricted,Intermediate Term Trade (Recognia) Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_rcgShortTermTechnicalDate_DESC,unrestricted,Short Term Technical Date (Recognia) Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_rcgShortTermTechnicalDate_ASC,unrestricted,Short Term Technical Date (Recognia) Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_rcgShortTermEventScore_DESC,unrestricted,Short Term Event Score (Recognia) Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_rcgShortTermEventScore_ASC,unrestricted,Short Term Event Score (Recognia) Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_rcgShortTermTrade_DESC,unrestricted,Short Term Trade (Recognia) Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_rcgShortTermTrade_ASC,unrestricted,Short Term Trade (Recognia) Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_esgScore_DESC,unrestricted,ESG Score (Refinitiv) Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US,FUND.US,FUND.ALL,BOND"
SCAN_esgScore_ASC,unrestricted,ESG Score (Refinitiv) Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US,FUND.US,FUND.ALL,BOND"
SCAN_esgCombinedScore_DESC,unrestricted,ESG Combined Score (Refinitiv) Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US,FUND.US,FUND.ALL,BOND"
SCAN_esgCombinedScore_ASC,unrestricted,ESG Combined Score (Refinitiv) Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US,FUND.US,FUND.ALL,BOND"
SCAN_esgControversiesScore_DESC,unrestricted,ESG Controversies Score (Refinitiv) Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US,FUND.US,FUND.ALL,BOND"
SCAN_esgControversiesScore_ASC,unrestricted,ESG Controversies Score (Refinitiv) Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US,FUND.US,FUND.ALL,BOND"
SCAN_esgResourceUseScore_DESC,unrestricted,ESG Resource Use Score (Refinitiv) Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US,FUND.US,FUND.ALL,BOND"
SCAN_esgResourceUseScore_ASC,unrestricted,ESG Resource Use Score (Refinitiv) Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US,FUND.US,FUND.ALL,BOND"
SCAN_esgEmissionsScore_DESC,unrestricted,ESG Emissions Score (Refinitiv) Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US,FUND.US,FUND.ALL,BOND"
SCAN_esgEmissionsScore_ASC,unrestricted,ESG Emissions Score (Refinitiv) Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US,FUND.US,FUND.ALL,BOND"
SCAN_esgEnvInvScore_DESC,unrestricted,ESG Environmental Innovation Score (Refinitiv) Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US,FUND.US,FUND.ALL,BOND"
SCAN_esgEnvInvScore_ASC,unrestricted,ESG Environmental Innovation Score (Refinitiv) Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US,FUND.US,FUND.ALL,BOND"
SCAN_esgWorkforceScore_DESC,unrestricted,ESG Workforce Score (Refinitiv) Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US,FUND.US,FUND.ALL,BOND"
SCAN_esgWorkforceScore_ASC,unrestricted,ESG Workforce Score (Refinitiv) Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US,FUND.US,FUND.ALL,BOND"
SCAN_esgHrScore_DESC,unrestricted,ESG Human Rights Score (Refinitiv) Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US,FUND.US,FUND.ALL,BOND"
SCAN_esgHrScore_ASC,unrestricted,ESG Human Rights Score (Refinitiv) Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US,FUND.US,FUND.ALL,BOND"
SCAN_esgCommunityScore_DESC,unrestricted,ESG Community Score (Refinitiv) Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US,FUND.US,FUND.ALL,BOND"
SCAN_esgCommunityScore_ASC,unrestricted,ESG Community Score (Refinitiv) Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US,FUND.US,FUND.ALL,BOND"
SCAN_esgProdRespScore_DESC,unrestricted,ESG Product Responsibility Score (Refinitiv) Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US,FUND.US,FUND.ALL,BOND"
SCAN_esgProdRespScore_ASC,unrestricted,ESG Product Responsibility Score (Refinitiv) Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US,FUND.US,FUND.ALL,BOND"
SCAN_esgManagementScore_DESC,unrestricted,ESG Management Score (Refinitiv) Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US,FUND.US,FUND.ALL,BOND"
SCAN_esgManagementScore_ASC,unrestricted,ESG Management Score (Refinitiv) Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US,FUND.US,FUND.ALL,BOND"
SCAN_esgShareholdersScore_DESC,unrestricted,ESG Shareholders Score (Refinitiv) Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US,FUND.US,FUND.ALL,BOND"
SCAN_esgShareholdersScore_ASC,unrestricted,ESG Shareholders Score (Refinitiv) Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US,FUND.US,FUND.ALL,BOND"
SCAN_esgStrategyScore_DESC,unrestricted,ESG CSR Strategy Score (Refinitiv) Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US,FUND.US,FUND.ALL,BOND"
SCAN_esgStrategyScore_ASC,unrestricted,ESG CSR Strategy Score (Refinitiv) Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US,FUND.US,FUND.ALL,BOND"
SCAN_esgEnvPillarScore_DESC,unrestricted,ESG Environmental Score (Refinitiv) Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US,FUND.US,FUND.ALL,BOND"
SCAN_esgEnvPillarScore_ASC,unrestricted,ESG Environmental Score (Refinitiv) Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US,FUND.US,FUND.ALL,BOND"
SCAN_esgSocialPillarScore_DESC,unrestricted,ESG Social Score (Refinitiv) Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US,FUND.US,FUND.ALL,BOND"
SCAN_esgSocialPillarScore_ASC,unrestricted,ESG Social Score (Refinitiv) Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US,FUND.US,FUND.ALL,BOND"
SCAN_esgCorpGovPillarScore_DESC,unrestricted,ESG Corporate Governance Score (Refinitiv) Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US,FUND.US,FUND.ALL,BOND"
SCAN_esgCorpGovPillarScore_ASC,unrestricted,ESG Corporate Governance Score (Refinitiv) Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US,FUND.US,FUND.ALL,BOND"
SCAN_ivRank13w_ASC,allowed,13 Week IV Rank Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_ivRank13w_DESC,allowed,13 Week IV Rank Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_ivRank26w_ASC,allowed,26 Week IV Rank Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_ivRank26w_DESC,allowed,26 Week IV Rank Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_ivRank52w_ASC,allowed,52 Week IV Rank Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_ivRank52w_DESC,allowed,52 Week IV Rank Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_ivPercntl13w_ASC,allowed,13 Week IV Percentile Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_ivPercntl13w_DESC,allowed,13 Week IV Percentile Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_ivPercntl26w_ASC,allowed,26 Week IV Percentile Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_ivPercntl26w_DESC,allowed,26 Week IV Percentile Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_ivPercntl52w_ASC,allowed,52 Week IV Percentile Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_ivPercntl52w_DESC,allowed,52 Week IV Percentile Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_hvRank13w_ASC,allowed,13 Week HV Rank Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_hvRank13w_DESC,allowed,13 Week HV Rank Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_hvRank26w_ASC,allowed,26 Week HV Rank Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_hvRank26w_DESC,allowed,26 Week HV Rank Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_hvRank52w_ASC,allowed,52 Week HV Rank Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_hvRank52w_DESC,allowed,52 Week HV Rank Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_hvPercntl13w_ASC,allowed,13 Week HV Percentile Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_hvPercntl13w_DESC,allowed,13 Week HV Percentile Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_hvPercntl26w_ASC,allowed,26 Week HV Percentile Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_hvPercntl26w_DESC,allowed,26 Week HV Percentile Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_hvPercntl52w_ASC,allowed,52 Week HV Percentile Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_hvPercntl52w_DESC,allowed,52 Week HV Percentile Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_socialSentimentScore_ASC,unrestricted,Social Sentiment Score Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
SCAN_socialSentimentScore_DESC,unrestricted,Social Sentiment Score Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
SCAN_socialSentimentScoreChange_ASC,unrestricted,Social Sentiment Score Change Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
SCAN_socialSentimentScoreChange_DESC,unrestricted,Social Sentiment Score Change Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
SCAN_tweetVolumeScore_ASC,unrestricted,Tweet Volume Score Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
SCAN_tweetVolumeScore_DESC,unrestricted,Tweet Volume Score Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
SCAN_tweetVolumeScoreChange_ASC,unrestricted,Tweet Volume Score Change Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
SCAN_tweetVolumeScoreChange_DESC,unrestricted,Tweet Volume Score Change Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
SCAN_numShares_ASC,allowed,Shares Outstanding Asc,STK
SCAN_numShares_DESC,allowed,Shares Outstanding Desc,STK
SCAN_stVolumeVsAvg3min_ASC,allowed,3min Volume vs Average Volume Asc,STK
SCAN_stVolumeVsAvg3min_DESC,allowed,3min Volume vs Average Volume Desc,STK
SCAN_stVolumeVsAvg5min_ASC,allowed,5min Volume vs Average Volume Asc,STK
SCAN_stVolumeVsAvg5min_DESC,allowed,5min Volume vs Average Volume Desc,STK
SCAN_stVolumeVsAvg10min_ASC,allowed,10min Volume vs Average Volume Asc,STK
SCAN_stVolumeVsAvg10min_DESC,allowed,10min Volume vs Average Volume Desc,STK
SCAN_nextEarningsDateTime_ASC,unrestricted,Upcoming Earnings (WSH) Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
SCAN_nextEarningsDateTime_DESC,unrestricted,Upcoming Earnings (WSH) Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
SCAN_floatShares_ASC,unrestricted,Float Shares Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
SCAN_floatShares_DESC,unrestricted,Float Shares Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
